match_id,match_date,player_id,player_name,team_name,country,position,role,minutes,shots_p90,xg_p90,passes_p90,progressive_passes_p90,carries_p90,progressive_carries_p90,pressures_p90,recoveries_p90,defensive_actions_p90,duels_p90,dribble_success_rate,turnovers_p90,contribution_index,future_contribution_index,target,model_probability
3877060,2023-08-27,3658,DeAndre Yedlin,Inter Miami,United States of America,Right Wing Back,Defender,36.166666666666664,0.0,0.0,52.258,14.931,37.327,4.977,7.465,2.488,7.465,0.0,1.0,0.0,24.298,12.407,0,0.0909319791048999
3877060,2023-08-27,5203,Sergio Busquets,Inter Miami,Spain,Right Defensive Midfield,Midfielder,36.3,0.0,0.0,61.983,19.835,32.231,2.479,27.273,4.959,7.438,4.959,0.0,4.959,28.512,23.474,0,0.8813017944019498
3877060,2023-08-27,5211,Jordi Alba,Inter Miami,Spain,Left Wing Back,Defender,96.0,0.0,0.0,47.812,15.0,31.875,7.5,8.438,4.688,11.25,0.938,0.5,0.0,27.966,26.791,1,0.5465956397791382
3877060,2023-08-27,5503,Lionel Messi,Inter Miami,Argentina,Center Forward,Attacker,36.583333333333336,4.92,2.367,44.282,22.141,44.282,7.38,7.38,0.0,0.0,4.92,1.0,4.92,53.068,30.068,1,0.9293922658495113
3877060,2023-08-27,23828,Kamal Miller,Inter Miami,Canada,Center Back,Defender,96.0,0.0,0.0,44.062,13.125,30.938,0.0,4.688,0.938,7.5,3.75,0.0,1.875,15.047,37.73,1,0.8611006362178548
3877060,2023-08-27,29946,Robert Taylor,Inter Miami,Finland,Right Wing Back,Defender,59.833333333333336,0.0,0.0,52.646,22.563,39.109,3.008,7.521,6.017,10.529,3.008,0.0,3.008,26.624,27.36,1,0.9014256134720919
3877060,2023-08-27,32878,Facundo Farías,Inter Miami,Argentina,Left Wing,Attacker,71.81666666666666,1.253,0.101,30.077,7.519,35.089,5.013,13.785,7.519,8.772,2.506,1.0,6.266,21.219,18.505,0,0.2920721803893262
3877060,2023-08-27,36149,Robbie Robinson Belmar,Inter Miami,United States of America,Left Wing,Attacker,12.4,0.0,0.0,7.258,0.0,14.516,7.258,7.258,0.0,0.0,0.0,0.0,14.516,3.266,24.092,1,0.7230809548014837
3877060,2023-08-27,36430,Dixon Arroyo,Inter Miami,Ecuador,Right Defensive Midfield,Midfielder,96.0,0.0,0.0,48.75,16.875,32.812,0.0,21.562,4.688,12.188,0.938,0.0,0.938,26.953,24.693,1,0.5785394308215798
3877060,2023-08-27,41824,Leonardo Campana,Inter Miami,Ecuador,Center Forward,Attacker,59.416666666666664,3.029,0.382,21.206,6.059,16.662,3.029,30.295,4.544,15.147,4.544,0.0,6.059,29.577,18.172,0,0.9815029193874084
3877060,2023-08-27,42373,Drake Callender,Inter Miami,United States of America,Goalkeeper,Goalkeeper,96.0,0.0,0.0,39.375,18.75,23.438,0.0,0.0,7.5,7.5,0.0,0.0,0.0,18.0,19.43,1,0.31087268079893493
3877060,2023-08-27,205682,Noah Allen,Inter Miami,United States of America,Left Center Back,Defender,96.0,0.0,0.0,44.062,12.188,35.625,1.875,14.062,1.875,7.5,3.75,0.0,0.938,19.5,24.385,0,0.7637538801026605
3877060,2023-08-27,222155,Diego Alexander Gómez Amarilla,Inter Miami,Paraguay,Right Wing,Attacker,83.6,1.077,0.095,30.144,10.766,34.45,4.306,34.45,3.23,4.306,9.689,0.4,6.459,25.677,27.553,1,0.9352051026821175
3877060,2023-08-27,225209,Benjamin Cremaschi,Inter Miami,United States of America,Right Wing,Attacker,24.183333333333334,0.0,0.0,22.329,0.0,11.165,0.0,48.38,0.0,3.722,7.443,0.0,0.0,19.352,29.354,1,0.5530696570897738
3877060,2023-08-27,225210,David Ruiz,Inter Miami,United States of America,Left Defensive Midfield,Midfielder,59.7,0.0,0.0,33.166,10.553,37.688,4.523,15.075,9.045,13.568,6.03,0.5,7.538,23.663,16.464,0,0.9517312704473442
3877060,2023-08-27,366752,Tomás Agustín Avilés Mancilla,Inter Miami,Chile,Right Center Back,Defender,96.0,0.0,0.0,48.75,23.438,36.562,0.938,14.062,2.812,8.438,2.812,0.0,3.75,26.251,25.945,1,0.8592590711903573
3877060,2023-08-27,4228,Dru Yearwood,New York Red Bulls,England,Right Center Midfield,Midfielder,45.0,2.0,0.016,30.0,4.0,26.0,2.0,24.0,2.0,10.0,0.0,0.0,4.0,18.092,,,0.4883988999065806
3877060,2023-08-27,12360,Cory Burke,New York Red Bulls,Jamaica,Center Forward,Attacker,30.2,0.0,0.0,8.94,2.98,0.0,0.0,38.742,0.0,0.0,2.98,0.0,0.0,15.646,,,0.10435433979904982
