match_id,match_date,player_id,player_name,team_name,country,position,role,minutes,shots_p90,xg_p90,passes_p90,progressive_passes_p90,carries_p90,progressive_carries_p90,pressures_p90,recoveries_p90,defensive_actions_p90,duels_p90,dribble_success_rate,turnovers_p90,contribution_index,future_contribution_index,target,model_probability
3877060,2023-08-27,23304,Luquinhas,New York Red Bulls,Brazil,Left Midfield,Midfielder,96.0,1.875,0.046,24.375,3.75,39.375,12.188,15.0,9.375,10.312,0.938,0.667,6.562,24.184,,,0.4211582219952065
3877060,2023-08-27,23858,Sean Nealis,New York Red Bulls,United States of America,Left Center Back,Defender,96.0,0.938,0.045,47.812,15.0,32.812,4.688,15.0,3.75,9.375,5.625,0.0,0.938,25.806,,,0.9438925639054379
3877060,2023-08-27,23859,Omir Guadalupe Fernandez Mosso,New York Red Bulls,United States of America,Right Midfield,Midfielder,75.88333333333334,3.558,0.495,22.535,2.372,27.279,1.186,14.232,4.744,5.93,0.0,0.0,3.558,16.14,,,0.29141906289691566
3877060,2023-08-27,24611,Carlos Coronel,New York Red Bulls,Brazil,Goalkeeper,Goalkeeper,96.0,0.0,0.0,20.625,17.812,11.25,0.938,0.0,3.75,3.75,0.0,0.0,0.0,15.656,,,0.2910827587779903
3877060,2023-08-27,24727,Frankie Amaya,New York Red Bulls,United States of America,Left Center Midfield,Midfielder,65.8,1.368,0.03,61.55,21.884,46.505,4.103,19.149,5.471,5.471,4.103,0.5,2.736,29.462,,,0.48785453600847434
3877060,2023-08-27,24955,Tom Barlow,New York Red Bulls,United States of America,Center Forward,Attacker,51.0,1.765,0.435,15.882,5.294,24.706,3.529,21.176,3.529,3.529,0.0,0.333,3.529,21.018,,,0.12226703011184098
3877060,2023-08-27,29138,Andrés Reyes,New York Red Bulls,Colombia,Right Center Back,Defender,96.0,1.875,0.199,41.25,15.938,34.688,6.562,16.875,3.75,10.312,1.875,0.0,2.812,30.419,,,0.8731650914630191
3877060,2023-08-27,36805,John Tolkin,New York Red Bulls,United States of America,Left Back,Defender,96.0,0.938,0.072,78.75,14.062,52.5,4.688,13.125,3.75,8.438,1.875,0.0,2.812,23.552,,,0.7048706942429311
3877060,2023-08-27,43065,Daniel Edelman,New York Red Bulls,United States of America,Center Defensive Midfield,Midfielder,96.0,0.938,0.027,70.312,19.688,53.438,2.812,16.875,5.625,13.125,4.688,0.0,0.0,30.793,,,0.9186054681137679
3877060,2023-08-27,45029,Cameron Harper,New York Red Bulls,United States of America,Right Back,Defender,83.4,0.0,0.0,47.482,11.871,41.007,10.791,6.475,6.475,11.871,1.079,0.2,3.237,26.272,,,0.820856055688089
3877060,2023-08-27,110056,Wikelman José Carmona Torres,New York Red Bulls,Venezuela (Bolivarian Republic),Right Back,Defender,12.6,0.0,0.0,28.571,7.143,28.571,7.143,21.429,0.0,0.0,0.0,0.0,0.0,18.215,,,0.09145031045132075
3877060,2023-08-27,112990,Elias Manoel,New York Red Bulls,Brazil,Center Forward,Attacker,45.0,0.0,0.0,10.0,0.0,14.0,0.0,26.0,0.0,0.0,4.0,0.0,6.0,7.0,,,0.40753057156030503
3877060,2023-08-27,261627,Jorge Leguín Cabezas Hurtado,New York Red Bulls,Colombia,Right Center Midfield,Midfielder,20.116666666666667,0.0,0.0,17.896,0.0,17.896,0.0,17.896,0.0,0.0,0.0,0.0,4.474,4.698,,,0.08990824579157441
3877060,2023-08-27,379652,Peter Stroud,New York Red Bulls,United States of America,Right Center Midfield,Midfielder,51.0,0.0,0.0,60.0,3.529,60.0,5.294,22.941,8.824,10.588,3.529,1.0,3.529,22.782,,,0.14452234412526668
3877072,2023-08-31,3658,DeAndre Yedlin,Inter Miami,United States of America,Right Back,Defender,96.0,0.0,0.0,45.938,1.875,35.625,2.812,6.562,1.875,5.625,1.875,1.0,1.875,11.259,18.146,0,0.09294538482345095
3877072,2023-08-31,5203,Sergio Busquets,Inter Miami,Spain,Right Defensive Midfield,Midfielder,96.0,0.0,0.0,90.0,17.812,59.062,0.938,19.688,3.75,6.562,2.812,0.0,5.625,22.406,27.248,1,0.6576392055402549
3877072,2023-08-31,5211,Jordi Alba,Inter Miami,Spain,Left Back,Defender,96.0,0.0,0.0,90.0,20.625,78.75,11.25,3.75,2.812,4.688,0.0,0.0,3.75,26.485,25.736,1,0.5683824680117809
3877072,2023-08-31,5503,Lionel Messi,Inter Miami,Argentina,Right Center Forward,Attacker,96.0,6.562,0.358,66.562,22.5,61.875,10.312,8.438,1.875,2.812,0.0,0.75,5.625,32.908,29.858,1,0.3326818173651169
3877072,2023-08-31,12619,Josef Martínez,Inter Miami,Venezuela (Bolivarian Republic),Left Center Forward,Attacker,70.16666666666667,0.0,0.0,21.805,0.0,15.392,3.848,6.413,0.0,1.283,0.0,0.0,1.283,5.708,11.562,0,0.16816947866283657
3877072,2023-08-31,23828,Kamal Miller,Inter Miami,Canada,Left Center Back,Defender,96.0,0.0,0.0,87.188,37.5,71.25,14.062,7.5,3.75,8.438,3.75,1.0,0.0,48.009,30.459,1,0.7718330871947362
3877072,2023-08-31,29946,Robert Taylor,Inter Miami,Finland,Left Midfield,Midfielder,70.0,2.571,0.229,65.571,9.0,59.143,2.571,10.286,3.857,7.714,1.286,0.0,0.0,19.719,25.606,1,0.38052427060198013
3877072,2023-08-31,32878,Facundo Farías,Inter Miami,Argentina,Left Midfield,Midfielder,51.0,5.294,0.165,54.706,14.118,58.235,7.059,8.824,1.765,3.529,1.765,0.0,14.118,17.951,24.764,1,0.9293407396108564
3877072,2023-08-31,36430,Dixon Arroyo,Inter Miami,Ecuador,Right Defensive Midfield,Midfielder,45.0,0.0,0.0,108.0,34.0,88.0,2.0,22.0,4.0,10.0,4.0,0.0,6.0,37.5,18.38,0,0.9238649084159487
3877072,2023-08-31,41824,Leonardo Campana,Inter Miami,Ecuador,Left Center Forward,Attacker,25.833333333333332,0.0,0.0,34.839,0.0,24.387,0.0,10.452,3.484,10.452,0.0,0.0,0.0,10.452,27.32,1,0.3035085821509606
3877072,2023-08-31,42373,Drake Callender,Inter Miami,United States of America,Goalkeeper,Goalkeeper,96.0,0.0,0.0,26.25,17.812,13.125,0.0,0.0,4.688,4.688,0.0,0.0,0.0,15.516,19.992,1,0.2813786001878459
3877072,2023-08-31,222155,Diego Alexander Gómez Amarilla,Inter Miami,Paraguay,Right Midfield,Midfielder,69.08333333333333,0.0,0.0,44.294,11.725,31.267,6.514,26.055,1.303,7.817,5.211,0.0,5.211,25.795,25.673,1,0.9507477877602045
3877072,2023-08-31,225209,Benjamin Cremaschi,Inter Miami,United States of America,Left Defensive Midfield,Midfielder,26.25,0.0,0.0,120.0,27.429,96.0,10.286,27.429,3.429,3.429,10.286,0.0,6.857,36.858,28.988,1,0.9876547921914635
3877072,2023-08-31,225210,David Ruiz,Inter Miami,United States of America,Right Midfield,Midfielder,26.0,3.462,0.047,41.538,3.462,38.077,3.462,24.231,0.0,0.0,6.923,0.0,3.462,13.026,24.562,1,0.724184065697423
3877072,2023-08-31,366752,Tomás Agustín Avilés Mancilla,Inter Miami,Chile,Right Center Back,Defender,96.0,0.0,0.0,72.188,19.688,57.188,5.625,9.375,1.875,7.5,0.938,0.0,0.938,26.11,26.254,1,0.6194897031754942
3877072,2023-08-31,5646,Aníbal Godoy,Nashville SC,Panama,Left Defensive Midfield,Midfielder,31.616666666666667,0.0,0.0,56.932,19.926,37.006,0.0,31.313,5.693,8.54,0.0,0.0,0.0,30.459,,,0.14916443241433333
3877072,2023-08-31,6806,Shaq Moore,Nashville SC,United States of America,Right Back,Defender,96.0,0.0,0.0,23.438,7.5,15.938,0.938,15.0,0.0,4.688,1.875,0.0,0.938,13.969,,,0.4472694602745457
3877072,2023-08-31,12356,Fafà Picault,Nashville SC,Haiti,Left Center Forward,Attacker,83.9,0.0,0.0,23.6,6.436,18.236,1.073,19.309,3.218,8.582,2.145,1.0,5.364,18.223,,,0.23699068680464838
3877072,2023-08-31,12703,Dax McCarty,Nashville SC,United States of America,Right Defensive Midfield,Midfielder,64.38333333333334,0.0,0.0,47.528,20.968,22.366,0.0,20.968,5.592,12.581,1.398,1.0,2.796,31.615,,,0.2967030094261873
3877072,2023-08-31,12742,Sean Davis,Nashville SC,United States of America,Center Defensive Midfield,Midfielder,12.1,0.0,0.0,44.628,14.876,52.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.413,,,0.09768080455269788
3877072,2023-08-31,12750,Alex Muyl,Nashville SC,United States of America,Right Midfield,Midfielder,64.53333333333333,1.395,0.037,23.709,6.973,25.103,0.0,18.13,5.579,11.157,1.395,0.667,1.395,20.035,,,0.19733721257661613
3877072,2023-08-31,12769,Daniel Lovitz,Nashville SC,United States of America,Left Back,Defender,96.0,0.0,0.0,36.562,16.875,21.562,2.812,7.5,0.938,6.562,0.938,0.0,0.0,20.952,,,0.6054495740419834
3877072,2023-08-31,13777,Teal Alexander Bunbury,Nashville SC,United States of America,Right Center Forward,Attacker,44.25,4.068,0.152,10.169,2.034,6.102,0.0,22.373,0.0,2.034,0.0,0.0,0.0,12.4,,,0.09422490881056472
3877072,2023-08-31,24451,Hany Mukhtar,Nashville SC,Germany,Center Forward,Attacker,51.0,3.529,0.199,37.059,12.353,38.824,7.059,12.353,3.529,7.059,0.0,0.429,5.294,24.771,,,0.45166504305336086
3877072,2023-08-31,26152,Jacob Shaffelburg,Nashville SC,Canada,Left Midfield,Midfielder,51.0,1.765,0.365,24.706,7.059,21.176,5.294,10.588,0.0,7.059,0.0,0.0,3.529,20.616,,,0.7283525142192656
3877072,2023-08-31,34007,Brian Anunga,Nashville SC,Cameroon,Left Defensive Midfield,Midfielder,96.0,0.0,0.0,30.0,9.375,26.25,2.812,21.562,5.625,9.375,1.875,0.5,2.812,22.668,,,0.31313439331323045
3877072,2023-08-31,35714,Randall Leal,Nashville SC,Costa Rica,Left Midfield,Midfielder,45.0,0.0,0.0,28.0,6.0,30.0,2.0,16.0,8.0,10.0,2.0,0.667,4.0,18.101,,,0.23375954068237614
3877072,2023-08-31,42894,Jack Maher,Nashville SC,United States of America,Left Center Back,Defender,96.0,0.938,0.122,19.688,6.562,10.312,0.0,6.562,0.0,6.562,0.0,0.0,1.875,11.963,,,0.49812381183057275
3877072,2023-08-31,43087,Luke Haakenson,Nashville SC,United States of America,Right Midfield,Midfielder,31.466666666666665,0.0,0.0,17.161,2.86,14.301,0.0,25.742,5.72,8.581,2.86,0.0,2.86,15.588,,,0.4767213862616237
3877072,2023-08-31,44705,Elliot Panicco,Nashville SC,United States of America,Goalkeeper,Goalkeeper,96.0,0.0,0.0,27.188,21.562,11.25,1.875,0.0,4.688,4.688,0.0,0.0,0.0,19.641,,,0.3806622300857917
3877072,2023-08-31,129291,Lukas MacNaughton,Nashville SC,Canada,Right Center Back,Defender,96.0,0.0,0.0,28.125,10.312,17.812,0.938,6.562,3.75,10.312,0.938,0.0,1.875,16.312,,,0.6955102431145775
3877090,2023-09-04,3658,DeAndre Yedlin,Inter Miami,United States of America,Right Wing Back,Defender,96.0,0.938,0.028,33.75,4.688,23.438,1.875,10.312,0.0,8.438,1.875,0.0,1.875,13.555,19.482,0,0.736333072385794
3877090,2023-09-04,5203,Sergio Busquets,Inter Miami,Spain,Center Defensive Midfield,Midfielder,96.0,0.0,0.0,55.312,17.812,42.188,1.875,13.125,5.625,9.375,3.75,0.5,3.75,24.543,27.806,1,0.676714812294353
3877090,2023-09-04,5211,Jordi Alba,Inter Miami,Spain,Left Wing Back,Defender,80.88333333333334,1.113,0.538,51.185,6.676,43.396,3.338,12.24,11.127,14.465,3.338,0.0,1.113,27.096,22.703,0,0.8449257145107091
3877090,2023-09-04,5503,Lionel Messi,Inter Miami,Argentina,Right Center Forward,Attacker,96.0,1.875,0.535,38.438,13.125,50.625,9.375,4.688,4.688,4.688,0.938,0.857,7.5,27.227,30.05,1,0.42274961742546413
3877090,2023-09-04,12580,Victor Ulloa,Inter Miami,Mexico,Left Center Midfield,Midfielder,10.55,0.0,0.0,51.185,8.531,51.185,8.531,8.531,8.531,8.531,8.531,1.0,8.531,20.742,,,0.926171180903791
3877090,2023-09-04,18618,Sergiy Kryvtsov,Inter Miami,Ukraine,Center Back,Defender,96.0,0.0,0.0,33.75,12.188,21.562,0.938,8.438,0.0,9.375,2.812,0.0,1.875,17.673,34.239,1,0.8870929145503503
3877090,2023-09-04,23828,Kamal Miller,Inter Miami,Canada,Left Center Back,Defender,96.0,0.0,0.0,38.438,21.562,25.312,0.938,2.812,6.562,15.0,0.938,0.5,0.938,27.45,32.231,1,0.7193630062266125
3877090,2023-09-04,32878,Facundo Farías,Inter Miami,Argentina,Left Center Forward,Attacker,73.4,3.678,0.316,29.428,4.905,29.428,4.905,22.071,3.678,4.905,2.452,0.0,8.583,19.059,26.831,1,0.7677190339348235
3877090,2023-09-04,36430,Dixon Arroyo,Inter Miami,Ecuador,Right Center Midfield,Midfielder,22.716666666666665,0.0,0.0,39.618,3.962,35.657,0.0,15.847,0.0,11.886,3.962,0.0,11.886,11.886,26.088,1,0.9832282600144453
3877090,2023-09-04,41824,Leonardo Campana,Inter Miami,Ecuador,Left Center Forward,Attacker,22.6,3.982,1.66,15.929,0.0,19.912,3.982,15.929,0.0,0.0,3.982,0.0,7.965,25.893,19.434,1,0.9304929116905621
3877090,2023-09-04,42373,Drake Callender,Inter Miami,United States of America,Goalkeeper,Goalkeeper,96.0,0.0,0.0,34.688,25.312,7.5,0.938,0.0,7.5,7.5,0.0,0.0,0.0,23.344,12.82,0,0.4859396676780135
3877090,2023-09-04,205682,Noah Allen,Inter Miami,United States of America,Left Wing Back,Defender,15.116666666666667,0.0,0.0,41.676,5.954,35.722,5.954,5.954,5.954,11.907,11.907,0.0,0.0,18.754,25.398,1,0.9972877519901623
3877090,2023-09-04,222155,Diego Alexander Gómez Amarilla,Inter Miami,Paraguay,Left Center Midfield,Midfielder,85.45,0.0,0.0,41.077,12.639,34.757,2.106,32.651,7.373,11.586,1.053,1.0,7.373,29.31,22.036,0,0.16395471638887812
3877090,2023-09-04,225209,Benjamin Cremaschi,Inter Miami,United States of America,Right Center Midfield,Midfielder,73.28333333333333,1.228,0.035,39.3,7.369,38.071,4.912,22.106,8.597,11.053,1.228,0.0,7.369,21.85,29.265,1,0.6843903715458021
3877090,2023-09-04,366752,Tomás Agustín Avilés Mancilla,Inter Miami,Chile,Right Center Back,Defender,96.0,0.0,0.0,44.062,21.562,25.312,0.0,15.938,1.875,9.375,2.812,0.0,2.812,25.781,38.285,1,0.8740156036134379
3877090,2023-09-04,5560,Carlos Vela,LAFC,Mexico,Right Wing,Attacker,96.0,3.75,0.177,30.0,5.625,23.438,0.938,8.438,5.625,6.562,1.875,0.0,3.75,12.718,,,0.5570517913506751
3877090,2023-09-04,6853,Mario González,LAFC,Spain,Center Forward,Attacker,60.9,1.478,0.186,13.3,2.956,13.3,0.0,23.645,1.478,1.478,1.478,0.0,5.911,11.469,,,0.2746061630570099
3877090,2023-09-04,6954,Giorgio Chiellini,LAFC,Italy,Left Center Back,Defender,52.166666666666664,0.0,0.0,48.307,25.879,37.955,8.626,6.901,6.901,17.252,1.725,0.0,0.0,38.645,,,0.9697330660483637
3877090,2023-09-04,7190,Denis Bouanga,LAFC,Gabon,Left Wing,Attacker,96.0,6.562,0.933,27.188,5.625,29.062,8.438,13.125,8.438,10.312,1.875,0.667,4.688,33.14,,,0.710658403757518
3877090,2023-09-04,11534,Sergi Palencia,LAFC,Spain,Right Back,Defender,60.833333333333336,0.0,0.0,48.822,20.712,35.507,5.918,10.356,10.356,17.753,2.959,1.0,2.959,35.761,,,0.7968566277078424
3877090,2023-09-04,12569,Ryan Hollingshead,LAFC,United States of America,Left Back,Defender,96.0,2.812,0.156,44.062,15.0,28.125,2.812,12.188,1.875,7.5,3.75,0.8,1.875,25.026,,,0.5868946263235736
3877090,2023-09-04,12757,Aaron Long,LAFC,United States of America,Right Center Back,Defender,96.0,0.938,0.074,46.875,16.875,31.875,2.812,13.125,1.875,7.5,2.812,0.0,2.812,23.435,,,0.8384866595505734
3877090,2023-09-04,12788,Ilie Sánchez,LAFC,Spain,Center Defensive Midfield,Midfielder,80.7,0.0,0.0,53.532,23.42,33.457,2.23,18.959,5.576,12.268,5.576,0.0,2.23,32.007,,,0.9675556254985253
3877090,2023-09-04,13035,Kellyn Kai Perry-Acosta,LAFC,United States of America,Right Center Midfield,Midfielder,45.0,0.0,0.0,30.0,12.0,20.0,0.0,30.0,8.0,12.0,10.0,0.0,10.0,23.2,,,0.9956973310700622
3877090,2023-09-04,15486,Diego Palacios,LAFC,Ecuador,Left Back,Defender,35.166666666666664,0.0,0.0,71.659,20.474,61.422,7.678,20.474,5.118,10.237,5.118,0.0,10.237,30.711,,,0.9850810160850224
3877090,2023-09-04,21455,John McCarthy,LAFC,United States of America,Goalkeeper,Goalkeeper,96.0,0.0,0.0,16.875,11.25,11.25,0.0,0.0,2.812,2.812,0.0,0.0,0.0,9.703,,,0.19240555326823733
3877090,2023-09-04,24153,Timothy Tillman,LAFC,Germany,Right Center Midfield,Midfielder,51.0,1.765,0.046,52.941,21.176,45.882,8.824,15.882,7.059,8.824,0.0,0.0,3.529,32.494,,,0.6150889713604877
3877090,2023-09-04,27306,Jesús Murillo,LAFC,Colombia,Right Center Back,Defender,43.833333333333336,4.106,0.459,32.852,12.319,24.639,8.213,16.426,2.053,4.106,4.106,0.5,4.106,28.883,,,0.8015532362634881
3877090,2023-09-04,36706,Cristian Olivera,LAFC,Uruguay,Right Wing,Attacker,35.1,0.0,0.0,10.256,0.0,20.513,5.128,28.205,2.564,5.128,0.0,0.0,7.692,14.615,,,0.33057492014216594
3877090,2023-09-04,42545,Mateusz Bogusz,LAFC,Poland,Left Center Midfield,Midfielder,96.0,1.875,0.052,42.188,17.812,42.188,9.375,20.625,7.5,10.312,3.75,1.0,4.688,35.273,,,0.6034981928735428
3877090,2023-09-04,46420,Filip Yavorov Krastev,LAFC,Bulgaria,Right Center Midfield,Midfielder,15.3,5.882,0.035,23.529,11.765,29.412,5.882,41.176,0.0,5.882,0.0,1.0,0.0,33.996,,,0.028914416477418554
3877115,2023-09-21,3658,DeAndre Yedlin,Inter Miami,United States of America,Right Wing Back,Defender,96.0,0.0,0.0,51.562,12.188,38.438,3.75,15.938,3.75,8.438,0.938,0.333,1.875,22.738,17.16,0,0.33445476888763565
3877115,2023-09-21,5203,Sergio Busquets,Inter Miami,Spain,Center Defensive Midfield,Midfielder,96.0,0.0,0.0,70.312,20.625,48.75,2.812,22.5,4.688,10.312,4.688,0.0,3.75,29.952,31.069,1,0.9179033373113868
3877115,2023-09-21,5211,Jordi Alba,Inter Miami,Spain,Left Wing Back,Defender,33.96666666666667,0.0,0.0,100.687,21.197,68.891,5.299,5.299,0.0,5.299,0.0,0.0,0.0,24.376,21.031,0,0.41124156714096255
3877115,2023-09-21,5503,Lionel Messi,Inter Miami,Argentina,Right Center Forward,Attacker,37.03333333333333,7.291,0.705,48.605,17.012,48.605,7.291,7.291,7.291,7.291,0.0,1.0,9.721,32.49,22.088,1,0.4548365964630054
3877115,2023-09-21,12619,Josef Martínez,Inter Miami,Venezuela (Bolivarian Republic),Left Center Forward,Attacker,64.46666666666667,2.792,0.292,23.733,1.396,18.149,1.396,9.772,1.396,2.792,0.0,0.0,2.792,9.856,13.268,0,0.23439639273709997
3877115,2023-09-21,18618,Sergiy Kryvtsov,Inter Miami,Ukraine,Center Back,Defender,94.85,0.0,0.0,63.574,19.926,52.188,10.438,10.438,3.795,7.591,2.847,1.0,2.847,32.29,36.188,1,0.4886317593115445
3877115,2023-09-21,23828,Kamal Miller,Inter Miami,Canada,Left Center Back,Defender,96.0,0.0,0.0,72.188,32.812,52.5,3.75,9.375,5.625,7.5,3.75,0.0,1.875,33.468,34.791,1,0.8771269235669471
3877115,2023-09-21,29946,Robert Taylor,Inter Miami,Finland,Right Wing,Attacker,58.96666666666667,4.579,0.292,79.367,13.737,68.683,15.263,6.105,6.105,12.21,0.0,0.5,4.579,35.001,16.212,0,0.7957256398938042
3877115,2023-09-21,32878,Facundo Farías,Inter Miami,Argentina,Left Center Midfield,Midfielder,96.0,0.938,0.072,63.75,16.875,57.188,9.375,14.062,8.438,8.438,0.0,0.5,3.75,30.47,23.192,0,0.23999745358184474
3877115,2023-09-21,36430,Dixon Arroyo,Inter Miami,Ecuador,Right Center Midfield,Midfielder,30.933333333333334,0.0,0.0,69.828,14.547,66.918,8.728,11.638,5.819,8.728,2.909,0.0,5.819,24.875,27.301,1,0.8655759483254072
3877115,2023-09-21,41824,Leonardo Campana,Inter Miami,Ecuador,Center Forward,Attacker,31.533333333333335,2.854,0.174,48.52,5.708,42.812,5.708,34.249,5.708,5.708,2.854,1.0,0.0,28.747,10.122,0,0.03585995678158757
3877115,2023-09-21,42373,Drake Callender,Inter Miami,United States of America,Goalkeeper,Goalkeeper,96.0,0.0,0.0,30.938,21.562,10.312,0.0,0.938,1.875,1.875,0.0,0.0,0.0,16.64,9.0,0,0.27181350113347225
3877115,2023-09-21,205682,Noah Allen,Inter Miami,United States of America,Left Wing Back,Defender,62.03333333333333,1.451,0.047,85.599,13.057,71.091,10.156,15.959,5.803,10.156,7.254,0.0,0.0,30.016,19.931,0,0.9594553573462273
3877115,2023-09-21,225209,Benjamin Cremaschi,Inter Miami,United States of America,Left Center Midfield,Midfielder,31.333333333333332,2.872,0.393,77.553,11.489,71.809,20.106,11.489,2.872,2.872,2.872,1.0,2.872,36.126,17.072,0,0.42552547817817743
3877115,2023-09-21,225210,David Ruiz,Inter Miami,United States of America,Right Center Midfield,Midfielder,64.66666666666667,0.0,0.0,70.979,11.134,55.67,2.784,23.66,2.784,6.959,4.175,0.0,8.351,19.902,29.221,1,0.8610201384615886
3877115,2023-09-21,366752,Tomás Agustín Avilés Mancilla,Inter Miami,Chile,Right Center Back,Defender,65.06666666666666,1.383,0.043,53.945,15.215,38.73,6.916,26.281,1.383,2.766,9.682,0.0,2.766,26.727,38.45,1,0.9714476741234486
3877115,2023-09-21,7037,Lorenzo Insigne,Toronto FC,Italy,Left Wing,Attacker,96.0,3.75,0.291,54.375,8.438,58.125,8.438,7.5,5.625,6.562,0.0,0.333,11.25,19.901,,,0.6500758749751293
3877115,2023-09-21,7777,Federico Bernardeschi,Toronto FC,Italy,Right Wing,Attacker,96.0,1.875,0.058,29.062,9.375,38.438,9.375,12.188,3.75,5.625,0.938,0.4,3.75,22.328,,,0.3897045803960519
3877115,2023-09-21,12339,Charles Kwabena Sapong,Toronto FC,United States of America,Center Forward,Attacker,27.466666666666665,0.0,0.0,9.83,0.0,13.107,0.0,26.214,0.0,9.83,0.0,0.0,6.553,13.271,,,0.5798947545258185
3877115,2023-09-21,12544,Latif Blessing,Toronto FC,Ghana,Left Center Midfield,Midfielder,27.383333333333333,0.0,0.0,36.153,13.147,39.44,0.0,19.72,0.0,3.287,3.287,0.0,3.287,17.091,,,0.5313931434274923
3877115,2023-09-21,12765,Michael Bradley,Toronto FC,United States of America,Left Center Back,Defender,96.0,0.0,0.0,43.125,16.875,31.875,2.812,9.375,5.625,12.188,0.0,0.0,0.0,25.266,,,0.5964557254753363
